,stock,year,dividend_per_share
5,CSNA3,2013,0.91222109
6,CSNA3,2014,0.4938597
7,CSNA3,2015,0.20263304
8,CSNA3,2019,0.94991397
9,CSNA3,2020,0.00887187
10,CSNA3,2021,1.92096015
11,CSNA3,2022,0.1915079
0,SYNE3,2008,0.06217
1,SYNE3,2009,0.092
2,SYNE3,2010,0.17185461
3,SYNE3,2011,0.2582
4,SYNE3,2012,0.32682088
5,SYNE3,2013,0.8784
6,SYNE3,2014,0.4273
7,SYNE3,2015,0.2811
8,SYNE3,2016,0.0927556
9,SYNE3,2017,5.77816798
10,SYNE3,2018,2.00561111
11,SYNE3,2020,0.93262453
12,SYNE3,2021,8.26778316
0,TAEE11,2012,1.70837936
1,TAEE11,2013,2.20402763
2,TAEE11,2014,2.93372835
3,TAEE11,2015,1.88557202
4,TAEE11,2016,2.70404927
5,TAEE11,2017,1.76581285
6,TAEE11,2018,2.78725143
7,TAEE11,2019,1.89070169
8,TAEE11,2020,3.21101965
9,TAEE11,2021,4.50370283
10,TAEE11,2022,2.32306325
0,TGMA3,2007,0.21881819
1,TGMA3,2008,0.84685287
2,TGMA3,2009,0.82373514
3,TGMA3,2010,0.94786421
4,TGMA3,2011,1.0009446
5,TGMA3,2012,0.97061295
6,TGMA3,2013,0.90994964
7,TGMA3,2014,0.25754608
8,TGMA3,2015,0.07582914
9,TGMA3,2017,0.46082149
10,TGMA3,2018,1.14501249
11,TGMA3,2019,1.57071241
12,TGMA3,2020,0.34018718
13,TGMA3,2021,0.78583729
0,VIVT3,2011,1.87697249
1,VIVT3,2012,2.56750952
2,VIVT3,2013,4.70392024
3,VIVT3,2014,2.72871868
4,VIVT3,2015,3.49043587
5,VIVT3,2016,1.92120093
6,VIVT3,2017,2.40506347
7,VIVT3,2018,3.74417353
8,VIVT3,2019,3.36365135
9,VIVT3,2020,3.41514353
10,VIVT3,2021,3.46264327
11,VIVT3,2022,1.46634569
0,TRPL4,2007,0.690372
1,TRPL4,2008,1.13291725
2,TRPL4,2009,1.073822
3,TRPL4,2010,1.267127
4,TRPL4,2011,1.47664325
5,TRPL4,2012,0.698181
6,TRPL4,2013,0.327522
7,TRPL4,2014,0.354056
8,TRPL4,2015,0.5672445
9,TRPL4,2016,0.37563575
10,TRPL4,2017,0.759467
11,TRPL4,2018,3.1416795
12,TRPL4,2019,1.510526
13,TRPL4,2020,1.73958
14,TRPL4,2021,3.588862
0,UNIP6,2007,0.022
1,UNIP6,2008,0.0473
2,UNIP6,2009,0.022
3,UNIP6,2012,0.0021
4,UNIP6,2013,0.0076
5,UNIP6,2014,0.0194
6,UNIP6,2015,0.2474
7,UNIP6,2016,0.31730879
8,UNIP6,2017,5.04210542
9,UNIP6,2018,2.70979323
10,UNIP6,2019,0.30296453
11,UNIP6,2020,1.22085828
12,UNIP6,2021,15.44458963
0,WIZS3,2015,0.23110556
1,WIZS3,2016,0.8755732
2,WIZS3,2017,0.70844189
3,WIZS3,2018,0.51171475
4,WIZS3,2019,1.11143519
5,WIZS3,2020,0.66880609
6,WIZS3,2021,0.6088732
